uuid,name,description,class,datatype,shortname,reference-term-code,reference-term-relationship,reference-term-source,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,answer.13,answer.14,answer.15,answer.16
,"HIVTC, Opportunistic Infection Diagnosis",,Misc,Coded,Opportunistic Infection Diagnosis,,,,,OI Bacterial Pneumonia,OI TB,OI Candidiasis,OI Diarrhoea,OI Crypto Meningitis,OI PCP,OI Cytomegato Virus,OI Herpes Zoster,OI Genital Herpes,OI Taxoplasmosis,Others,,,,,
,"HIVTC, Other Opportunistic Infection Diagnosis",,Misc,Text,Others(Specify),,,,,,,,,,,,,,,,,,,,
,"HIVTC, Opportunistic Infection Treatment",,Misc,Text,Treatment,,,,,,,,,,,,,,,,,,,,
,"HIVTC, TB Screened",,Misc,Boolean,TB Screened,,,,,,,,,,,,,,,,,,,,
,"HIVTC, ART current status",,Misc,Coded,Current Status,,,,,On Treatment,Stopped Treatment,Transferred Out,Missing,Lost to Follow-up,Death,Restarted,,,,,,,,,
,"HIVTC, ART Treatment Adherence",A --> greater than 95%<br>B --> 80‐95% <br>C --> less than 80%,Misc,Coded,Treatment Adherence,,,,,Adherence A,Adherence B,Adherence C,,,,,,,,,,,,,
,"HIVTC, Need FP assessment",,Misc,Boolean,Need FP assessment,,,,,,,,,,,,,,,,,,,,
,"HIVTV, If not FP why",,Misc,Coded,"If not, why",,,,,Using OCP,IUCD,Permanent,Referred,,,,,,,,,,,,
,"HIVTC, ART cohort",,Misc,Coded,Antiretroviral Cohort (EWI),,,,,Ontime Pill Pickup,Retention on pill pickup,Viral load suppression,Retention on treament,,,,,,,,,,,,
,"HIVTC, Date of Death",,Misc,Date,Date of Death,,,,,,,,,,,,,,,,,,,,
,"HIVTC, Mortality coding",,Misc,Text,Mortality coding (ICD code),,,,,,,,,,,,,,,,,,,,
